iter	Passed	Remaining
426	1505	2020
427	1506	2014
428	1508	2007
429	1510	2001
430	1511	1995
431	1513	1989
432	1515	1984
433	1517	1979
434	1519	1973
435	1520	1967
436	1522	1961
437	1523	1955
438	1525	1949
439	1527	1943
440	1528	1937
441	1531	1933
442	1533	1927
443	1534	1921
444	1535	1915
445	1537	1909
446	1539	1904
447	1540	1898
448	1542	1892
449	1543	1886
450	1545	1881
451	1547	1876
452	1549	1870
453	1550	1865
454	1552	1859
455	1554	1854
456	1555	1848
457	1557	1843
458	1559	1837
459	1560	1832
460	1563	1827
461	1564	1822
462	1566	1816
463	1568	1811
464	1569	1805
465	1571	1800
466	1572	1794
467	1574	1789
468	1575	1784
469	1578	1779
470	1579	1774
471	1582	1769
472	1583	1764
473	1585	1758
474	1586	1753
475	1587	1748
476	1589	1742
477	1591	1737
478	1593	1733
479	1595	1728
480	1597	1723
481	1600	1720
482	1603	1716
483	1609	1715
484	1614	1714
485	1616	1709
486	1618	1704
487	1619	1699
488	1621	1694
489	1623	1690
490	1626	1685
491	1627	1680
492	1629	1675
493	1630	1670
494	1632	1665
495	1633	1660
496	1635	1655
497	1636	1649
498	1639	1646
499	1641	1641
500	1643	1636
501	1644	1631
502	1646	1626
503	1647	1621
504	1649	1616
505	1651	1612
506	1654	1608
507	1655	1603
508	1657	1598
509	1658	1593
510	1660	1588
511	1662	1584
512	1663	1579
513	1665	1574
514	1666	1569
515	1668	1564
516	1670	1560
517	1672	1556
518	1673	1551
519	1675	1546
520	1676	1541
521	1678	1536
522	1679	1532
523	1681	1527
524	1682	1522
525	1685	1518
526	1687	1514
527	1689	1510
528	1691	1505
529	1692	1501
530	1694	1496
531	1696	1492
532	1699	1488
533	1701	1484
534	1703	1480
535	1704	1475
536	1706	1471
537	1708	1467
538	1709	1462
539	1711	1458
540	1713	1453
541	1716	1450
542	1719	1446
543	1720	1442
544	1723	1438
545	1725	1434
546	1726	1430
547	1728	1425
548	1731	1422
549	1733	1417
550	1734	1413
551	1736	1409
552	1738	1405
553	1740	1401
554	1742	1396
555	1745	1393
556	1747	1389
557	1751	1387
558	1753	1383
559	1755	1379
560	1756	1374
561	1760	1372
562	1762	1368
563	1765	1364
564	1767	1360
565	1768	1356
566	1770	1351
567	1771	1347
568	1773	1343
569	1775	1339
570	1777	1335
571	1779	1331
572	1781	1327
573	1782	1323
574	1784	1319
575	1786	1314
576	1787	1310
577	1789	1306
578	1792	1303
579	1794	1299
580	1796	1295
581	1798	1291
582	1800	1287
583	1802	1283
584	1805	1280
585	1807	1277
586	1809	1273
587	1811	1269
588	1812	1264
589	1814	1260
590	1815	1256
591	1817	1252
592	1818	1248
593	1821	1245
594	1823	1241
595	1825	1237
596	1826	1233
597	1828	1229
598	1830	1225
599	1831	1221
600	1833	1217
601	1834	1212
602	1837	1209
603	1838	1205
604	1840	1201
605	1842	1197
606	1843	1193
607	1845	1189
608	1846	1185
609	1848	1181
610	1849	1177
611	1852	1174
612	1854	1170
613	1855	1166
614	1857	1162
615	1858	1158
616	1860	1154
617	1861	1150
618	1863	1146
619	1864	1142
620	1866	1139
621	1868	1135
622	1870	1131
623	1872	1128
624	1873	1124
625	1875	1120
626	1876	1116
627	1878	1112
628	1879	1108
629	1881	1105
630	1884	1101
631	1885	1098
632	1887	1094
633	1889	1090
634	1891	1086
635	1892	1083
636	1894	1079
637	1898	1077
638	1900	1073
639	1901	1069
640	1903	1066
641	1905	1062
642	1906	1058
643	1908	1054
644	1909	1051
645	1912	1048
646	1914	1044
647	1916	1040
648	1917	1037
649	1919	1033
650	1920	1029
651	1922	1026
652	1923	1022
653	1925	1018
654	1927	1014
655	1929	1011
656	1931	1008
657	1932	1004
658	1934	1000
659	1935	997
660	1937	993
661	1938	989
662	1940	986
663	1941	982
664	1944	979
665	1946	975
666	1947	972
667	1949	968
668	1950	965
669	1952	961
670	1953	958
671	1955	954
672	1958	951
673	1960	948
674	1962	944
675	1963	941
676	1966	938
677	1967	934
678	1969	931
679	1971	927
680	1973	924
681	1976	921
682	1977	917
683	1979	914
684	1981	911
685	1983	907
686	1988	905
687	1990	902
688	1992	899
689	1997	897
690	1999	894
691	2002	891
692	2004	888
693	2007	884
694	2009	881
695	2010	878
696	2012	874
697	2014	871
698	2015	867
699	2017	864
700	2019	861
701	2021	858
702	2023	854
703	2024	851
704	2026	847
705	2028	844
706	2029	841
707	2031	837
708	2033	834
709	2035	831
710	2037	828
711	2038	824
712	2040	821
713	2041	817
714	2043	814
715	2045	811
716	2046	807
717	2048	804
718	2051	801
719	2052	798
720	2054	794
721	2055	791
722	2057	788
723	2058	784
724	2060	781
725	2061	778
726	2063	774
727	2066	772
728	2068	768
729	2070	765
730	2072	762
731	2073	759
732	2075	756
733	2079	753
734	2081	750
735	2082	747
736	2086	744
737	2088	741
738	2090	738
739	2092	735
740	2095	732
741	2097	729
742	2098	726
743	2101	722
744	2103	719
745	2104	716
746	2106	713
747	2108	710
748	2111	707
749	2113	704
750	2115	701
751	2117	698
752	2118	695
753	2120	691
754	2122	688
755	2128	686
756	2130	683
757	2132	680
758	2134	677
759	2135	674
760	2137	671
761	2140	668
762	2143	665
763	2145	662
764	2147	659
765	2148	656
766	2150	653
767	2151	650
768	2153	646
769	2156	644
770	2158	641
771	2160	637
772	2161	634
773	2163	631
774	2164	628
775	2166	625
776	2167	622
777	2172	619
778	2174	616
779	2175	613
780	2177	610
781	2180	607
782	2181	604
783	2183	601
784	2185	598
785	2188	595
786	2190	592
787	2192	589
788	2193	586
789	2195	583
790	2197	580
791	2201	578
792	2203	575
793	2205	572
794	2207	569
795	2209	566
796	2211	563
797	2212	560
798	2214	557
799	2217	554
800	2219	551
801	2220	548
802	2222	545
803	2226	542
804	2228	539
805	2231	537
806	2234	534
807	2236	531
808	2238	528
809	2240	525
810	2242	522
811	2243	519
812	2246	516
813	2248	513
814	2250	510
815	2252	507
816	2254	504
817	2255	501
818	2257	498
819	2259	495
820	2262	493
821	2264	490
822	2265	487
823	2267	484
824	2269	481
825	2270	478
826	2272	475
827	2274	472
828	2277	469
829	2279	466
830	2281	463
831	2282	460
832	2284	458
833	2286	455
834	2288	452
835	2291	449
836	2293	446
837	2296	443
838	2297	440
839	2299	437
840	2300	434
841	2302	432
842	2303	429
843	2305	426
844	2308	423
845	2309	420
846	2311	417
847	2312	414
848	2314	411
849	2315	408
850	2317	405
851	2319	402
852	2321	400
853	2323	397
854	2325	394
855	2326	391
856	2328	388
857	2329	385
858	2331	382
859	2332	379
860	2334	376
861	2336	373
862	2338	371
863	2340	368
864	2341	365
865	2343	362
866	2344	359
867	2346	356
868	2348	353
869	2349	351
870	2351	348
871	2353	345
872	2355	342
873	2357	339
874	2358	336
875	2360	334
876	2361	331
877	2363	328
878	2364	325
879	2366	322
880	2369	320
881	2370	317
882	2372	314
883	2374	311
884	2375	308
885	2377	305
886	2378	303
887	2380	300
888	2381	297
889	2384	294
890	2387	292
891	2389	289
892	2392	286
893	2394	283
894	2397	281
895	2400	278
896	2402	275
897	2404	273
898	2406	270
899	2407	267
900	2409	264
901	2410	261
902	2412	259
903	2415	256
904	2417	253
905	2418	250
906	2420	248
907	2421	245
908	2423	242
909	2424	239
910	2426	237
911	2428	234
912	2430	231
913	2432	228
914	2434	226
915	2435	223
916	2437	220
917	2438	217
918	2440	215
919	2441	212
920	2443	209
921	2446	206
922	2447	204
923	2449	201
924	2450	198
925	2452	195
926	2453	193
927	2455	190
928	2456	187
929	2458	185
930	2460	182
931	2462	179
932	2464	176
933	2465	174
934	2467	171
935	2468	168
936	2470	166
937	2472	163
938	2473	160
939	2475	158
940	2477	155
941	2479	152
942	2481	149
943	2483	147
944	2484	144
945	2486	141
946	2488	139
947	2491	136
948	2493	133
949	2495	131
950	2496	128
951	2498	125
952	2499	123
953	2501	120
954	2502	117
955	2504	115
956	2507	112
957	2508	109
958	2510	107
959	2511	104
960	2513	102
961	2515	99
962	2516	96
963	2518	94
964	2520	91
965	2522	88
966	2523	86
967	2525	83
968	2526	80
969	2528	78
970	2530	75
971	2532	72
972	2534	70
973	2536	67
974	2538	65
975	2540	62
976	2541	59
977	2543	57
978	2544	54
979	2546	51
980	2547	49
981	2549	46
982	2551	44
983	2553	41
984	2554	38
985	2556	36
986	2558	33
987	2560	31
988	2561	28
989	2563	25
990	2565	23
991	2567	20
992	2569	18
993	2570	15
994	2572	12
995	2574	10
996	2575	7
997	2577	5
998	2578	2
999	2580	0
